name,img,messsage
様々な鳥たち①,https://masarubucket.s3.ap-northeast-1.amazonaws.com/hokusaimanga/animal/IMG_4896+2.jpg,軍鶏やスズメに白サギなど様々な鳥がいますね。
かわいい動物たち,https://masarubucket.s3.ap-northeast-1.amazonaws.com/hokusaimanga/animal/IMG_4897+2.jpg,たぬきや犬に可愛らしいうさぎ、狐に水牛、馬たち凄い躍動感です。
現代は上野動物園に行けばゾウやパンダや虎をみる事ができますが、動物園がない江戸時代にこのクオリティを再現できる北斎先生は凄いです、、,https://masarubucket.s3.ap-northeast-1.amazonaws.com/hokusaimanga/animal/IMG_4898+2.JPG,北斎の人物表現は、役者や美人にとどまらず、老若男女、神々や僧侶、文人、和漢古典の登場人物、あるいは庶民の暮らしぶりなどありとあらゆる層に及んでいます。力士等、特定のテーマによる題材を多様なポーズで描くことも試みています。
愛らしい犬や鳥に人々,https://masarubucket.s3.ap-northeast-1.amazonaws.com/hokusaimanga/animal/IMG_4899+2.jpg,犬の後ろ姿がなんとも愛おしいです。表情が可愛らしい人や動物も見所でありますが、動物の骨格の表現を筆圧で表現しています。これは簡単にできるものではありません。普段から尋常ではない量の絵を描き続けている技術の賜物なのでしょう。
たくましい獅子と可愛らしい猿と,https://masarubucket.s3.ap-northeast-1.amazonaws.com/hokusaimanga/animal/IMG_4900+2.JPG,上段におります三匹は唐獅子と呼ばれる、いわゆるライオンですね。刺青では大変人気の動物でして、牡丹という花と一緒に描かれた「唐獅子牡丹」という作品があります。そのたくましい「唐獅子」とは打って変わって下のたぬきや猿がとてもかわいいです。一本の筆で可愛らしい動物の骨格から毛並みを表現できるのは流石は北斎先生です。
トラとかわいい猿と,https://masarubucket.s3.ap-northeast-1.amazonaws.com/hokusaimanga/animal/IMG_4901+2.JPG,なんの種類かは定かではありませんが、木にぶら下がる猿がなんとも可愛いですね。元祖マスコットキャラクターといったところですかね、北斎先生にかかれば的確な筆使いだけでなく、可愛らしさで動物をアレンジするのもお手の物です。馬を色々な角度から描いているのも素晴らしい!!
様々な鳥たち②,https://masarubucket.s3.ap-northeast-1.amazonaws.com/hokusaimanga/animal/IMG_4902+2.jpg,北斎先生は鳥類に関してはかなり写実的に描くようです。鶏も得意でして、種類としてはおそらく「クロカシワ」と呼ばれる種類なのでは無いかと思われます(間違っていたら種類を教えてください。)
様々な鳥たち③,https://masarubucket.s3.ap-northeast-1.amazonaws.com/hokusaimanga/animal/IMG_4903+2.JPG,燕が飛んでいる姿や雁が滑空するかっこいい絵が描かれている一枚です。池を泳ぐ鴨は今にも動き出しそうなクオリティです。
様々な鳥たち④,https://masarubucket.s3.ap-northeast-1.amazonaws.com/hokusaimanga/animal/IMG_4904+2.JPG,燕や鴨ですかね、比翼鳥と呼ばれる伝説上の鳥も描かれております。伝説では一つの羽根と一つの目しか持たない鳥とされており、それ故に、二匹つがいになって支え合い空を飛ぶ鳥のようですね。白鷺も見切れてはいますが、忠実に再現していると思います。小さい鶯も可愛いです。
様々な鳥たち⑤,https://masarubucket.s3.ap-northeast-1.amazonaws.com/hokusaimanga/animal/IMG_4905+2.JPG,真ん中の錦雉は雉化の、羽毛が美しい鳥です。※種類が定かではない鳥は今後発覚次第追記します。
様々な鳥たち⑥,https://masarubucket.s3.ap-northeast-1.amazonaws.com/hokusaimanga/animal/IMG_4906+2.JPG,今回は鷲や鷹など、獰猛な鳥たちが多く描かれています。右上には鳶もいます。写真もない時代にどうやってこれらの鳥を描いていたのか不思議です、、
様々な鳥たち⑦,https://masarubucket.s3.ap-northeast-1.amazonaws.com/hokusaimanga/animal/IMG_4907+2.JPG,真ん中の鶏がなんともかっこいいです。フクロウもいますが寝ているのでしょうか？とても可愛いですね。雷鳥なども正確に描いています。
水生生物,https://masarubucket.s3.ap-northeast-1.amazonaws.com/hokusaimanga/sinbutu/IMG_4911.JPG,水生生物たちですね、北斎先生に描けないものはあるのでしょうか??実在する水生生物に合わせてお世辞にも美人とは言えない人魚や座って休んでいる河童もいます。どちらも架空の動物(現代では)ですが、実在しているものを模写しているようなクオリティです、、北斎先生恐るべし。
勝敗の行方は、、,https://masarubucket.s3.ap-northeast-1.amazonaws.com/hokusaimanga/sinbutu/IMG_4913.JPG,唐獅子の決闘ですね、勝負の世界はいつも残酷です。それ故に美しくもあります。複雑な構図を見事に描き切った作品です。
鶏犬の声に吉凶を知る,https://masarubucket.s3.ap-northeast-1.amazonaws.com/hokusaimanga/sinbutu/IMG_4921.JPG,一般的に犬が遠吠えするのはあまりいい知らせではないと言いますね、シリアスな一面なのですが、子犬がなんとも可愛いです。
様々な鳥たち⑧,https://masarubucket.s3.ap-northeast-1.amazonaws.com/hokusaimanga/animal/IMG_4934.jpg,左はサギでしょうか??真ん中の鳥は恐らく鳶か鷹ではないかと思われます。色々な鳥たちの滑空するポーズが見事です。鳥の構図を観察、研究しているからこそ描ける一枚ですね、写真がない時代にどうやって描いたのでしょうか、、達人とはこういう事をいうのでしょう!!大胆な構図と繊細なタッチは見る人を魅了します。北斎先生は北斎漫画の中でも沢山の鳥を描いています。
様々な鳥たち⑨,https://masarubucket.s3.ap-northeast-1.amazonaws.com/hokusaimanga/animal/IMG_4935.jpg,水辺の鳥たちを多く描いていますね。かもが水に潜っている描写を黒く描いているのは見事です、、水の動きの表現を薄い墨で表現しているのも凄いです。水に潜って餌を探している鳥、浮かぶ鳥、水辺に立つ白サギ、どれをとっても素晴らしい!!
